,health,climate,intersection
Aerospace & Defense,59.63302752293578,36.23853211009174,2.7522935779816518
Alternative Energy,61.80555555555556,32.63888888888889,6.25
Automobiles & Parts,61.80422264875239,35.50863723608445,6.71785028790787
Banks,60.37735849056604,36.058700209643604,2.3060796645702304
Beverages,62.117647058823536,41.17647058823529,4.705882352941177
Chemicals,65.8357771260997,49.56011730205279,17.741935483870968
Construction & Materials,56.26029654036244,34.596375617792425,6.672158154859967
Diversified,57.30994152046783,35.08771929824561,4.093567251461988
Electricity,68.4375,57.8125,9.0625
Electronic & Electrical Equ...,45.58258642765685,25.096030729833547,3.201024327784891
Equity Investment Instruments,42.2680412371134,11.34020618556701,2.0618556701030926
Financial Services,55.33596837944664,37.15415019762846,2.7009222661396577
Fixed Line Telecommunications,65.0485436893204,40.29126213592233,8.25242718446602
Food & Drug Retailers,46.93877551020408,42.857142857142854,6.122448979591836
Food Producers,65.90621039290241,39.4169835234474,10.899873257287707
Forestry & Paper,61.42322097378277,43.07116104868914,2.9962546816479403
"Gas, Water & Multiutilities",54.418604651162795,39.06976744186046,6.046511627906977
General Industrials,51.44083384426732,30.472103004291846,5.702023298589822
General Retailers,51.515151515151516,30.454545454545457,4.090909090909091
Health Care Equipment & Ser...,66.06606606606607,26.426426426426424,7.207207207207207
Household Goods & Home Cons...,59.19117647058824,31.61764705882353,5.88235294117647
Industrial Engineering,52.62237762237763,32.86713286713287,6.468531468531468
Industrial Goods & Services,0.0,0.0,0.0
Industrial Metals & Mining,63.8671875,37.6953125,6.0546875
Industrial Transportation,53.896103896103895,33.44155844155844,5.51948051948052
Leisure Goods,57.831325301204814,26.506024096385545,1.2048192771084338
Life Insurance,49.333333333333336,40.0,1.3333333333333335
Media,54.0268456375839,25.335570469798657,2.013422818791946
Mining,61.71428571428571,41.714285714285715,8.0
Mobile Telecommunications,73.84615384615385,47.38461538461539,11.692307692307692
Nonequity Investment Instru...,90.0,45.0,0.0
Nonlife Insurance,54.166666666666664,19.166666666666668,0.8333333333333334
Not Applicable,55.70469798657718,22.818791946308725,2.684563758389262
Oil & Gas Producers,70.5050505050505,54.54545454545454,15.757575757575756
"Oil Equipment, Services & D...",63.133640552995395,31.797235023041477,5.529953917050691
Personal Goods,60.877513711151735,26.3254113345521,4.387568555758683
Pharmaceuticals & Biotechno...,70.62937062937063,35.43123543123543,14.918414918414918
Real Estate,100.0,100.0,0.0
Real Estate Investment & Se...,52.98701298701298,37.4025974025974,7.792207792207792
Real Estate Investment Trusts,74.57627118644068,57.6271186440678,20.33898305084746
Retail,100.0,0.0,0.0
Software & Computer Services,56.14035087719298,20.350877192982455,2.3391812865497075
Support Services,52.368647717484926,23.47114556416882,2.3255813953488373
Technology Hardware & Equip...,58.44748858447488,38.051750380517504,8.21917808219178
Tobacco,50.0,25.0,0.0
Travel & Leisure,61.53846153846154,35.57692307692308,3.8461538461538463
