Sector,Year,HDI Level,Climate,Health,Intersection
2011,Tier 2,3,0.67,1,0
2012,Tier 2,6,0.67,0.83,0.17
2013,Tier 2,11,0.36,0.64,0.18
2014,Tier 2,10,0.5,0.8,0.2
2015,Tier 2,12,0.5,0.75,0.08
2016,Tier 2,8,0.5,0.5,0.12
2017,Tier 2,9,0.44,0.89,0
2018,Tier 2,8,0.88,0.88,0.62
2019,Tier 2,11,0.91,1,0.36
2020,Tier 2,12,0.67,0.83,0.25
2011,Tier 1,1,1,1,0
2012,Tier 1,2,0.5,1,0.5
2013,Tier 1,6,0.33,0.67,0
2014,Tier 1,2,0,0,0
2016,Tier 1,1,1,0,0
2017,Tier 1,1,1,1,1
2018,Tier 1,2,1,1,1
2019,Tier 1,3,1,1,0.67
2020,Tier 1,4,1,1,0.25
2018,SIDS,1,1,1,0
2019,SIDS,1,1,1,1
