Year,total_speeches,total_sentences,total_words
1970,70,11854,303791
1971,116,19901,508506
1972,125,21201,540994
1973,120,21450,536413
1974,129,22041,568739
1975,126,21365,534375
1976,134,23799,599949
1977,140,24799,606549
1978,141,25236,626163
1979,144,26462,654000
1980,149,27191,659225
1981,145,26063,633579
1982,147,23435,638691
1983,149,26803,643068
1984,150,27928,662654
1985,137,19258,592666
1986,149,19030,577525
1987,152,18336,563132
1988,154,18595,569493
1989,153,19440,574379
1990,156,17885,522197
1991,162,18552,538351
1992,167,18597,543138
1993,175,20165,587448
1994,178,19944,580530
1995,172,17870,536741
1996,181,18046,522699
1997,176,17701,514492
1998,181,18883,514836
1999,181,18529,531306
2000,178,16259,464312
2001,189,14748,414683
2002,188,13977,380481
2003,189,14716,399397
2004,192,14899,405290
2005,185,13012,353065
2006,193,14646,390476
2007,191,14586,387883
2008,192,14294,384881
2009,193,16029,423395
2010,189,14439,391954
2011,194,16293,429974
2012,195,16837,444519
2013,193,16400,440898
2014,194,15859,421947
2015,193,16129,436378
2016,194,15990,420155
2017,196,16806,439624
2018,196,16980,455205
2019,195,17526,466114
2020,193,15165,396548
