,WHO,Year,intersection,climate,health,sum
0,Western Pacific,2011,65.0,1823.0,3578.0,5466.0
1,Western Pacific,2012,41.0,1879.0,3766.0,5686.0
2,Western Pacific,2013,90.0,2123.0,5281.0,7494.0
3,Western Pacific,2014,84.0,2314.0,5485.0,7883.0
4,Western Pacific,2015,80.0,2054.0,5045.0,7179.0
5,Western Pacific,2016,139.0,2435.0,5492.0,8066.0
6,Western Pacific,2017,166.0,2858.0,6734.0,9758.0
7,Western Pacific,2018,156.0,3304.0,8396.0,11856.0
8,Western Pacific,2019,228.0,4746.0,9458.0,14432.0
9,Western Pacific,2020,538.0,7308.0,13530.0,21376.0
10,Western Pacific,2021,1018.0,13166.0,20832.0,35016.0
11,Western Pacific,2022,1269.0,17355.0,24988.0,43612.0
