,Year,intersection,health,climate
0,2011,0.0,17.0,0.14285714285714285
1,2012,0.25,16.416666666666668,1.1666666666666667
2,2013,0.0,30.916666666666668,1.3333333333333333
3,2014,0.0,31.615384615384617,2.1538461538461537
4,2015,0.3333333333333333,47.8,2.6
5,2016,0.0,28.733333333333334,2.0
6,2017,0.375,59.4375,2.25
7,2018,0.16666666666666666,62.583333333333336,1.5
8,2019,0.25,32.666666666666664,1.4166666666666667
9,2020,2.3333333333333335,71.16666666666667,5.916666666666667
10,2021,4.055555555555555,86.61111111111111,11.055555555555555
11,2022,1.4375,63.3125,9.8125
